budget,popularity,revenue,runtime,vote_average,vote_count,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science_Fiction,Thriller,War,Western,Other_language,de_language,en_language,es_language,fr_language,ja_language,Columbia Pictures,Dune Entertainment,New Line Cinema,Other_company,Paramount Pictures,Relativity Media,Twentieth Century Fox Film Corporation,Universal Pictures,Village Roadshow Pictures,Walt Disney Pictures,Warner Bros.,Canada,France,Germany,Other_country,United Kingdom,United States of America,year,month,day,weekday,day_of_year,gdp
200000000,45.274225,769653595,158.0,5.6,4903,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2009,10,10,5,283,14478067
200000000,39.744242,325233863,96.0,6.6,1095,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2009,11,4,2,308,14478067
176000003,85.36908000000003,183987723,124.0,5.2,2768,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,2015,2,4,2,35,18295019
180000000,42.741719,356743061,109.0,5.5,2430,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,2016,6,29,2,181,18804913
178000000,139.272042,543934787,144.0,6.4,4721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2016,5,18,2,139,18804913
185000000,187.322927,1004558444,152.0,8.2,12002,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,2008,7,16,2,198,14769862
175000000,36.167578000000006,381509870,94.0,6.0,1423,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2009,3,19,3,78,14478067
140000000,120.725053,585174222,126.0,7.4,8776,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2008,4,30,2,121,14769862
170000000,32.319043,185770160,126.0,7.0,2141,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,2011,11,22,1,326,15599732
175000000,90.23792,745000000,123.0,5.9,7458,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2016,8,2,1,215,18804913
175000000,27.082182,173000000,96.0,5.3,1151,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2007,6,9,5,160,14474228
178000000,79.456485,370541256,113.0,7.6,4858,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,2014,5,27,1,147,17608138
175000000,32.852443,302469017,118.0,5.6,1962,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,2009,8,4,1,216,14478067
175000000,128.65596399999998,857611174,94.0,8.0,6560,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2015,6,9,1,160,18295019
200000000,77.30019399999998,623933331,124.0,6.6,6849,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2010,4,28,2,118,15048971
170000000,77.178973,396600000,127.0,5.8,3118,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2012,5,30,2,151,16253970
180000000,110.620647,758539785,97.0,7.0,4496,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2014,5,28,2,148,17608138
170000000,243.79174300000005,710644566,130.0,7.3,4410,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,6,26,3,177,17608138
170000000,72.22526500000002,714766572,136.0,7.6,5764,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,3,20,3,79,17608138
165000000,44.041186,752600867,93.0,6.0,1959,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2010,5,16,6,136,15048971
190000000,130.311355,209154322,130.0,6.2,2846,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2015,5,19,1,139,18295019
165000000,203.73459,652105443,102.0,7.8,6135,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2014,10,24,4,297,17608138
165000000,62.341073,471222889,108.0,7.1,4570,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,11,1,3,306,16253970
165000000,48.775723,389681935,120.0,4.9,2491,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2016,6,22,2,174,18804913
165000000,67.263269,494878759,98.0,7.5,4227,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2010,3,5,4,64,15048971
170000000,481.098624,773328629,121.0,7.9,9742,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2014,7,30,2,211,17608138
165000000,724.247784,675120017,169.0,8.1,10867,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,2014,11,5,2,309,17608138
160000000,167.58371,825532764,148.0,8.1,13752,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,2010,7,14,2,195,15048971
250000000,108.849621,1021103568,169.0,7.0,8297,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2012,11,26,0,331,16253970
150000000,60.269279,333932083,166.0,7.3,3292,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,2008,11,24,0,329,14769862
160000000,3.195174,353624124,132.0,7.1,5181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2011,5,24,1,144,15599732
160000000,127.284427,653428261,137.0,6.6,3984,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2015,11,18,2,322,18295019
150000000,35.580815,215283742,109.0,5.8,1470,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2010,7,13,1,194,15048971
160000000,21.133748,181674817,99.0,5.5,583,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2006,5,12,4,132,13815583
